Name: Измерение номер 20
-----------------------------------------
Date: 01.05.2022 22-09-14 
-----------------------------------------
MeasureType: Amperage
-----------------------------------------
MeasureSubType: Range
-----------------------------------------
Description:
Финальное тестовое измерения для работы с мнохроматором
-----------------------------------------
Measure:
Wave, нм    ,Amperage
нм            у.е  
-----------------------------------------
    
20014       ,64          
20015       ,71          
20016       ,82          
20017       ,59          
20018       ,32          
20019       ,95          
20020       ,26          
20021       ,50          
20022       ,14          
20023       ,50          
20024       ,76          
20025       ,41          
20026       ,62          
20027       ,34          
20028       ,24          
20029       ,86          
20030       ,42          
20031       ,37          
20032       ,84          
20033       ,27          
20034       ,83          
20035       ,57          
20036       ,44          
20037       ,54          
20038       ,72          
20039       ,56          
20040       ,72          
20041       ,69          
20042       ,80          
20043       ,82          
20044       ,12          
20045       ,16          
20046       ,70          
20047       ,86          
20048       ,61          
20049       ,74          
20050       ,26          
20051       ,48          
20052       ,89          
20053       ,13          
20054       ,78          
20055       ,51          
20056       ,75          
20057       ,93          
20058       ,95          
20059       ,70          
20060       ,58          
20061       ,33          
20062       ,22          
20063       ,90          
20064       ,44          
20065       ,16          
20066       ,71          
20067       ,36          
20068       ,17          
20069       ,17          
20070       ,36          
20071       ,38          
20072       ,87          
20073       ,76          
20074       ,32          
20075       ,56          
20076       ,69          
20077       ,31          
20078       ,47          
20079       ,70          
20080       ,70          
20081       ,76          
20082       ,73          
20083       ,50          
20084       ,70          
20085       ,93          
20086       ,47          
20087       ,80          
20088       ,48          
20089       ,41          
20090       ,81          
20091       ,50          
20092       ,58          
20093       ,12          
20094       ,98          
20095       ,49          
20096       ,57          
20097       ,89          
20098       ,48          
20099       ,96          
20100       ,45          
20101       ,43          
20102       ,78          
20103       ,53          
20104       ,47          
20105       ,87          
20106       ,61          
20107       ,23          
20108       ,80          
20109       ,31          
20110       ,81          
20111       ,54          
20112       ,56          
20113       ,35          
20114       ,99          
20115       ,81          
20116       ,59          
20117       ,72          
20118       ,29          
20119       ,51          
20120       ,68          
20121       ,90          
20122       ,88          
20123       ,75          
20124       ,36          
20125       ,86          
20126       ,79          
20127       ,85          
20128       ,78          
20129       ,83          
20130       ,99          
20131       ,80          
20132       ,83          
20133       ,50          
20134       ,34          
20135       ,36          
20136       ,97          
20137       ,29          
20138       ,12          
20139       ,83          
20140       ,42          
20141       ,34          
20142       ,10          
20143       ,27          
20144       ,59          
20145       ,37          
20146       ,94          
20147       ,32          
20148       ,12          
20149       ,26          
20150       ,89          
20151       ,84          
20152       ,69          
20153       ,96          
20154       ,37          
20155       ,54          
20156       ,55          
20157       ,13          
20158       ,27          
20159       ,61          
20160       ,17          
20161       ,75          
20162       ,45          
20163       ,96          
20164       ,31          
20165       ,11          
20166       ,70          
20167       ,15          
20168       ,10          
20169       ,73          
20170       ,84          
20171       ,39          
20172       ,69          
20173       ,46          
20174       ,18          
20175       ,44          
20176       ,89          
20177       ,70          
20178       ,25          
20179       ,98          
20180       ,92          
20181       ,57          
20182       ,83          
20183       ,62          
20184       ,94          
20185       ,25          
20186       ,20          
20187       ,86          
20188       ,23          
20189       ,80          
20190       ,80          
20191       ,94          
20192       ,12          
20193       ,51          
20194       ,75          
20195       ,66          
20196       ,89          
20197       ,13          
20198       ,95          
20199       ,57          
20200       ,66          
20201       ,89          
20202       ,31          
20203       ,39          
20204       ,41          
20205       ,59          
