Name: 
аа
-----------------------------------------
Date: 28.04.2022 23-04-08 
-----------------------------------------
MeasureType: Amperage
-----------------------------------------
MeasureSubType: Range
-----------------------------------------
Description:

-----------------------------------------
Measure:
Wave, нм    ,Amperage
нм            у.е  
-----------------------------------------
20000       ,44          
20001       ,72          
20002       ,56          
20002       ,31          
20003       ,32          
20004       ,42          
20005       ,58          
20006       ,37          
20007       ,31          
20008       ,19          
20009       ,99          
20010       ,56          
20011       ,17          
20012       ,97          
20013       ,55          
20014       ,27          
20015       ,50          
20016       ,90          
20017       ,53          
20018       ,95          
20019       ,79          
20020       ,25          
20021       ,50          
20022       ,24          
20023       ,94          
20024       ,55          
20025       ,83          
20026       ,73          
20027       ,43          
20028       ,67          
20029       ,26          
20030       ,77          
20031       ,55          
20032       ,42          
20033       ,95          
20034       ,45          
20035       ,95          
20036       ,35          
20037       ,49          
20038       ,20          
20039       ,54          
20040       ,69          
20041       ,73          
20042       ,70          
20043       ,58          
20044       ,45          
20045       ,87          
20046       ,53          
20047       ,53          
20048       ,71          
20049       ,44          
20050       ,90          
20051       ,79          
20052       ,69          
20053       ,85          
20054       ,29          
20055       ,31          
20056       ,41          
20057       ,36          
20058       ,76          
20059       ,59          
20060       ,84          
20061       ,94          
20062       ,63          
20063       ,93          
20064       ,32          
20065       ,10          
20066       ,75          
20067       ,12          
20068       ,20          
20069       ,31          
20070       ,25          
20071       ,51          
20072       ,42          
20073       ,50          
20074       ,20          
20075       ,52          
20076       ,80          
20077       ,66          
20078       ,59          
20079       ,68          
20080       ,40          
20081       ,30          
20082       ,72          
20083       ,33          
20084       ,35          
20085       ,98          
20086       ,86          
20087       ,56          
20088       ,75          
20089       ,23          
20090       ,63          
20091       ,99          
20092       ,72          
20093       ,60          
20094       ,69          
20095       ,75          
20096       ,19          
20097       ,77          
20098       ,35          
20099       ,44          
20100       ,21          
20101       ,50          
20102       ,43          
20103       ,49          
20104       ,29          
20105       ,49          
20106       ,46          
20107       ,28          
20108       ,75          
20109       ,77          
20110       ,51          
20111       ,75          
20112       ,77          
20113       ,17          
20114       ,29          
20115       ,64          
20116       ,31          
20117       ,40          
20118       ,68          
20119       ,33          
20120       ,24          
20121       ,29          
20122       ,36          
20123       ,96          
20124       ,67          
20125       ,25          
20126       ,79          
20127       ,82          
20128       ,80          
20129       ,45          
20130       ,42          
20131       ,13          
20132       ,40          
20133       ,24          
20134       ,57          
20135       ,89          
20136       ,86          
20137       ,32          
20138       ,14          
20139       ,85          
20140       ,62          
20141       ,67          
20142       ,81          
20143       ,98          
20144       ,72          
20145       ,88          
20146       ,31          
20147       ,64          
20148       ,41          
20149       ,15          
20150       ,53          
20151       ,79          
20152       ,19          
20153       ,12          
20154       ,30          
20155       ,92          
20156       ,23          
20157       ,46          
20158       ,82          
20159       ,13          
20160       ,70          
20161       ,63          
20162       ,47          
20163       ,39          
20164       ,44          
20165       ,48          
20166       ,45          
20167       ,63          
20168       ,60          
20169       ,40          
20170       ,77          
20171       ,99          
20172       ,35          
20173       ,82          
20174       ,71          
20175       ,56          
20176       ,47          
20177       ,38          
20178       ,34          
20179       ,79          
20180       ,93          
20181       ,24          
20182       ,51          
20183       ,75          
20184       ,92          
20185       ,63          
20186       ,94          
20187       ,38          
20188       ,93          
20189       ,64          
20190       ,75          
20191       ,49          
20192       ,50          
20193       ,11          
20194       ,25          
20195       ,98          
20196       ,29          
20197       ,51          
20198       ,64          
20199       ,33          
20200       ,53          
20201       ,68          
20202       ,14          
20203       ,10          
20204       ,37          
