
90          |70          
100         |36          
110         |49          
120         |89          
130         |72          
140         |63          
150         |31          
160         |42          
170         |30          
180         |84          
190         |37          
200         |98          
210         |42          
220         |74          
230         |45          
240         |59          
250         |54          
260         |37          
270         |22          
280         |25          
290         |90          
300         |35          
310         |95          
320         |27          
330         |11          
340         |18          
350         |11          
360         |12          
370         |35          
380         |44          
390         |24          
400         |73          
0           |0           
